wavelength / nm,EQE / %
300,4
304.75 ,6.55 
309.50 ,9.82 
311.88 ,12.73 
316.63 ,15.27 
321.38 ,18.18 
326.13 ,20.73 
328.50 ,23.27 
328.50 ,25.09 
330.88 ,26.55 
335.63 ,28.73 
338.00 ,30.91 
345.13 ,35.64 
349.88 ,38.55 
357.01 ,44.73 
364.13 ,49.09 
376.01 ,56.36 
383.14 ,61.82 
406.89 ,68.73 
421.14 ,74.18 
435.39 ,78.18 
466.27 ,83.64 
497.15 ,87.27 
535.15 ,90.18 
570.78 ,91.27 
608.79 ,92.00 
646.79 ,92.73 
699.05 ,92.73 
737.05 ,92.36 
782.19 ,92.36 
810.69 ,92.00 
832.07 ,91.27 
851.07 ,90.91 
879.57 ,90.18 
924.70 ,88.73 
948.46 ,87.27 
972.21 ,86.55 
988.84 ,85.09 
1005.46 ,82.55 
1017.34 ,80.36 
1031.59 ,77.45 
1043.47 ,74.91 
1057.72 ,70.55 
1069.60 ,66.55 
1081.47 ,62.18 
1088.60 ,58.91 
1098.10 ,56.36 
1107.60 ,52.73 
1114.73 ,49.09 
1126.60 ,44.00 
1133.73 ,40.73 
1138.48 ,37.09 
1145.61 ,32.73 
1150.36 ,29.45 
1152.73 ,26.55 
1157.48 ,22.18 
1162.23 ,19.64 
1169.36 ,14.91 
1176.48 ,10.18 
1181.24 ,6.18 
1188.36 ,2.91 
1190.74 ,1.09 
1197.86 ,0.00 
1212.11 ,0.00 
1233.49 ,0.00 
1276.25 ,0.00 
